id,name_pl,name_en,description_pl,description_en,category,img_url,product_url,price_eur,co chcemy
3011,,PIER ONE Classic Oxford Men's Shoes,,,Shoes,https://secure-i2.ztat.net//large/PI/91/2A/0F/MO/11/PI912A0FM-O11@12.jpg,https://www.zalando.pl/pier-one-oksfordki-tan-pi912a0fm-o11.html,50,
3012,,PIER ONE Classic Oxford Men's Black Shoes,,,Shoes,https://secure-i3.ztat.net//large/PI/91/2A/0D/RQ/11/PI912A0DR-Q11@11.jpg,https://www.zalando.pl/pier-one-oksfordki-czarny-pi912a0dr-q11.html,55,
3013,,GIORGIO 1958 Elegant Men's Shoes,,,Shoes,https://secure-i2.ztat.net//large/G7/81/2C/00/0O/11/G7812C000-O11@12.jpg,https://www.zalando.pl/giorgio-1958-eleganckie-buty-whisky-g7812c000-o11.html,215,
3014,,ZIGN Classic Oxford White Shoes,,,Shoes,https://secure-i6.ztat.net//large/ZI/11/2A/0C/RB/11/ZI112A0CR-B11@12.jpg,https://www.zalando.pl/zign-oksfordki-taupe-beige-zi112a0cr-b11.html,70,
3015,,ADIDAS ORIGINALS Winter boots,,,Shoes,https://secure-i2.ztat.net//large/AD/11/2D/00/7O/11/AD112D007-O11@12.jpg,https://www.zalando.pl/adidas-originals-chasker-botki-ad112d007-o11.html,100,
3016,,ZIGN Worker Boots,,,Shoes,https://secure-i1.ztat.net//large/ZI/11/2D/03/WQ/11/ZI112D03W-Q11@11.jpg,https://www.zalando.pl/zign-botki-sznurowane-black-zi112d03w-q11.html,85,
3017,,KENTUCKY'S WESTERN Motor Cowboy Boots,,,Shoes,https://secure-i1.ztat.net//large/KW/31/2C/00/Q7/02/KW312C00Q-702@1.1.jpg,https://www.zalando.pl/kentucky-s-western-kowbojki-i-buty-motocyklowe-brazowy-kw312c00q-702.html,175,
3018,,KENNETH COLE REACTION Classic Men's Boots,,,Shoes,https://secure-i4.ztat.net//large/KC/41/2D/00/2Q/11/KC412D002-Q11@12.jpg,https://www.zalando.pl/kenneth-cole-reaction-botki-black-kc412d002-q11.html,110,
3019,,ADIDAS PERFORMANCE Springblade Runner's Shoes,,,Shoes,https://secure-i6.ztat.net//large/AD/54/2A/1P/GQ/11/AD542A1PG-Q11@9.jpg,https://www.zalando.pl/adidas-performance-springblade-drive-2-obuwie-do-biegania-amortyzacja-black-sesoye-silver-ad542a1pg-q11.html,160,
3020,,NIKE Shox Trainers,,,Shoes,https://secure-i4.ztat.net//large/NI/11/2B/07/NQ/11/NI112B07N-Q11@12.jpg,https://www.zalando.pl/nike-sportswear-shox-tenisowki-i-trampki-czarny-ni112b07n-q11.html,130,
3021,,TOM JOULE Black Wellies,,,Shoes,https://secure-i4.ztat.net//large/4J/O1/1M/00/7Q/11/4JO11M007-Q11@12.jpg,https://www.zalando.pl/tom-joule-field-kalosze-4jo11m007-q11.html,60,
3022,,"D""ARCHIVE by L""AUTRE CHOSE Boots",,,Shoes,https://secure-i4.ztat.net//large/DC/71/1M/00/9O/11/DC711M009-O11@12.jpg,https://www.zalando.pl/d-archive-by-l-autre-chose-kozaki-grey-dc711m009-o11.html,350,
3023,,GIESSWEIN Home Slippers,,,Shoes,https://secure-i3.ztat.net//large/G/I/GI112D006-503@1.1.jpg,https://www.zalando.pl/giesswein-villach-obuwie-domowe-niebieski-gi112d006-503.html,35,
